iter	Passed	Remaining
0	223	222827
1	293	146578
2	343	114287
3	394	98149
4	447	89050
5	511	84774
6	568	80656
7	626	77736
8	706	77760
9	757	74993
10	813	73119
11	866	71329
12	921	69992
13	983	69258
14	1108	72822
15	1326	81603
16	1439	83254
17	1508	82299
18	1587	81956
19	1657	81205
20	1724	80377
21	1788	79509
22	1847	78499
23	1905	77470
24	1957	76353
25	2024	75840
26	2093	75460
27	2162	75084
28	2223	74450
29	2284	73872
30	2341	73184
31	2421	73247
32	2483	72782
33	2539	72161
34	2592	71476
35	2654	71085
36	2707	70458
37	2760	69875
38	2812	69303
39	2872	68939
40	2928	68502
41	2984	68063
42	3048	67850
43	3132	68057
44	3190	67713
45	3269	67799
46	3330	67524
47	3391	67261
48	3455	67056
49	3504	66580
50	3553	66124
51	3605	65722
52	3668	65544
53	3721	65190
54	3773	64835
55	3831	64589
56	3882	64236
57	3940	63998
58	4000	63810
59	4060	63610
60	4118	63401
61	4170	63099
62	4219	62761
63	4273	62498
64	4323	62191
65	4370	61854
66	4420	61558
67	4466	61214
68	4513	60900
69	4576	60796
70	4630	60581
71	4684	60379
72	4731	60082
73	4788	59926
74	4835	59637
75	4878	59318
76	4936	59171
77	4992	59017
78	5045	58826
79	5123	58920
80	5177	58744
81	5232	58574
82	5319	58774
83	5376	58633
84	5427	58430
85	5486	58310
86	5533	58071
87	5580	57835
88	5630	57632
89	5719	57834
90	5838	58323
91	5951	58733
92	6040	58907
93	6121	58996
94	6217	59233
95	6320	59514
96	6427	59832
97	6524	60054
98	6625	60296
99	6721	60492
100	6822	60729
101	6913	60866
102	7006	61021
103	7093	61113
104	7194	61320
105	7288	61471
106	7378	61580
107	7472	61718
108	7567	61861
109	7680	62141
110	7777	62292
111	7870	62404
112	7961	62494
113	8063	62672
114	8158	62785
115	8246	62846
116	8330	62870
117	8427	62995
118	8522	63092
119	8610	63140
120	8702	63222
121	8802	63347
122	8898	63450
123	8991	63522
124	9093	63653
125	9190	63753
126	9304	63961
127	9392	63984
128	9471	63952
129	9555	63945
130	9633	63903
131	9720	63922
132	9802	63900
133	9884	63880
134	9975	63917
135	10056	63888
136	10144	63901
137	10224	63867
138	10314	63889
139	10394	63849
140	10482	63859
141	10582	63940
142	10675	63977
143	10766	64001
144	10851	63988
145	10933	63951
146	11021	63956
147	11104	63926
148	11184	63877
149	11271	63869
150	11354	63838
151	11441	63833
152	11532	63841
153	11624	63857
154	11717	63878
155	11807	63882
156	11916	63983
157	12011	64012
158	12098	63993
159	12176	63929
160	12282	64004
161	12368	63979
162	12454	63951
163	12542	63935
164	12621	63870
165	12724	63930
166	12811	63905
167	12903	63902
168	12991	63882
169	13070	63815
170	13177	63883
171	13268	63873
172	13377	63951
173	13465	63923
174	13555	63906
175	13640	63860
176	13727	63829
177	13821	63829
178	13897	63743
179	13984	63706
180	14071	63672
181	14152	63609
182	14237	63561
183	14338	63589
184	14431	63575
185	14519	63543
186	14607	63508
187	14696	63478
188	14801	63513
189	14925	63630
190	15101	63963
191	15249	64174
192	15352	64193
193	15438	64141
194	15532	64122
195	15625	64094
196	15724	64094
197	15841	64165
198	15956	64226
199	16051	64207
200	16139	64155
201	16235	64139
202	16323	64087
203	16426	64095
204	16539	64142
205	16643	64149
206	16747	64156
207	16844	64140
208	16940	64113
209	17040	64104
210	17146	64117
211	17239	64078
212	17333	64044
213	17418	63977
214	17518	63963
215	17603	63892
216	17693	63842
217	17783	63791
218	17865	63711
219	17958	63672
220	18050	63625
221	18138	63567
222	18223	63494
223	18322	63475
224	18412	63420
225	18503	63371
226	18590	63304
227	18681	63254
228	18806	63316
229	18897	63264
230	18983	63196
231	19070	63130
232	19158	63066
233	19267	63071
234	19369	63055
235	19472	63038
236	19564	62985
237	19662	62954
238	19754	62901
239	19847	62850
240	19937	62792
241	20024	62719
242	20123	62688
243	20212	62625
244	20299	62555
245	20388	62490
246	20480	62436
247	20580	62404
248	20668	62336
249	20757	62271
250	20846	62207
251	20939	62154
252	21037	62114
253	21127	62052
254	21218	61991
255	21314	61944
256	21411	61901
257	21502	61841
258	21596	61787
259	21687	61724
260	21785	61684
261	21881	61634
262	21971	61571
263	22056	61490
264	22145	61423
265	22244	61381
266	22335	61317
267	22421	61239
268	22513	61178
269	22615	61145
270	22694	61049
271	22776	60960
272	22886	60946
273	22999	60939
274	23093	60882
275	23189	60831
276	23296	60806
277	23388	60742
278	23499	60728
279	23590	60661
280	23685	60603
281	23767	60513
282	23857	60445
283	23969	60429
284	24057	60354
285	24156	60305
286	24247	60238
287	24339	60173
288	24426	60093
289	24522	60037
290	24622	59991
291	24709	59911
292	24799	59839
293	24902	59800
294	25018	59790
295	25100	59697
296	25239	59741
297	25335	59681
298	25419	59594
299	25510	59524
300	25594	59437
301	25684	59362
302	25763	59265
303	25859	59204
304	25944	59118
305	26042	59063
306	26135	58996
307	26224	58919
308	26311	58838
309	26396	58753
310	26498	58704
311	26581	58615
312	26667	58531
313	26754	58451
314	26842	58371
315	26925	58281
316	27018	58213
317	27103	58128
318	27184	58032
319	27265	57939
320	27336	57824
321	27421	57737
322	27508	57656
323	27596	57578
324	27679	57488
325	27785	57446
326	27929	57481
327	28022	57412
328	28112	57335
329	28210	57275
330	28312	57224
331	28399	57141
332	28479	57044
333	28591	57011
334	28713	56997
335	28811	56936
336	28895	56847
